date,geography,geography code,Rural Urban,Religion: All categories: Religion; measures: Value,Religion: Has religion; measures: Value,Religion: Christian; measures: Value,Religion: Buddhist; measures: Value,Religion: Hindu; measures: Value,Religion: Jewish; measures: Value,Religion: Muslim; measures: Value,Religion: Sikh; measures: Value,Religion: Other religion; measures: Value,Religion: No religion; measures: Value,Religion: Religion not stated; measures: Value
2011,Hackney,E09000012,Total,246270,62.2,38.63,1.25,0.64,6.28,14.1,0.76,0.53,28.2,9.6
2011,Hammersmith and Fulham,E09000013,Total,182493,67.77,54.14,1.13,1.15,0.64,10.0,0.24,0.47,23.83,8.41
2011,Haringey,E09000014,Total,254926,65.87,44.98,1.11,1.78,3.0,14.17,0.32,0.51,25.18,8.95
2011,Islington,E09000019,Total,206125,53.4,40.21,1.03,1.02,0.93,9.47,0.28,0.47,30.04,16.56
2011,Kensington and Chelsea,E09000020,Total,158649,69.34,54.21,1.54,0.87,2.09,9.97,0.17,0.49,20.59,10.07
2011,Lambeth,E09000022,Total,303086,63.28,53.1,0.98,1.03,0.37,7.09,0.15,0.55,27.98,8.74
2011,Lewisham,E09000023,Total,275885,63.88,52.77,1.33,2.38,0.23,6.44,0.19,0.54,27.24,8.88
2011,Newham,E09000025,Total,307984,84.04,39.98,0.79,8.75,0.11,31.97,2.08,0.35,9.54,6.42
2011,Southwark,E09000028,Total,288283,64.72,52.54,1.35,1.27,0.35,8.52,0.23,0.47,26.74,8.54
2011,Tower Hamlets,E09000030,Total,254096,65.47,27.08,1.07,1.65,0.5,34.51,0.32,0.32,19.15,15.38
2011,Wandsworth,E09000032,Total,306995,65.19,52.96,0.84,2.12,0.53,8.06,0.27,0.42,26.95,7.86
2011,Westminster,E09000033,Total,219396,70.35,44.61,1.46,1.9,3.3,18.27,0.23,0.58,20.3,9.35
2011,Barking and Dagenham,E09000002,Total,185911,74.68,56.0,0.45,2.4,0.23,13.73,1.59,0.29,18.88,6.44
2011,Barnet,E09000003,Total,356386,75.53,41.21,1.27,6.15,15.18,10.31,0.36,1.06,16.08,8.39
2011,Bexley,E09000004,Total,231997,68.87,62.11,0.59,1.53,0.1,2.43,1.79,0.31,24.14,6.99
2011,Brent,E09000005,Total,311215,82.48,41.48,1.38,17.82,1.4,18.65,0.55,1.21,10.62,6.9
2011,Bromley,E09000006,Total,309392,66.23,60.65,0.51,1.61,0.31,2.53,0.24,0.37,25.96,7.82
2011,Croydon,E09000008,Total,363378,72.37,56.42,0.66,5.98,0.2,8.12,0.4,0.59,19.99,7.64
2011,Ealing,E09000009,Total,338449,78.09,43.75,1.25,8.54,0.33,15.72,7.91,0.59,15.02,6.89
